"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"truth_judgment","4981","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","120","2.1.0","721829","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","24","24F","24","Audio item 24","F","false","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_24F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_44T_audio.webm","null","audio-keyboard-response","121","2.1.1","725666","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","44","44T","44","Audio item 44","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_44T_audio.webm","","","","","","",""
"truth_judgment","4875","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","122","2.1.0","730542","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","44","44T","44","Audio item 44","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_44T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_27T_audio.webm","null","audio-keyboard-response","123","2.1.1","734686","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","27","27T","27","Audio item 27","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_27T_audio.webm","","","","","","",""
"truth_judgment","3773","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","124","2.1.0","738460","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","27","27T","27","Audio item 27","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_27T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_19T_audio.webm","null","audio-keyboard-response","125","2.1.1","742846","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","19","19T","19","Audio item 19","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_19T_audio.webm","","","","","","",""
"truth_judgment","4343","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","126","2.1.0","747190","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","19","19T","19","Audio item 19","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_19T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F14F_audio.webm","null","audio-keyboard-response","127","2.1.1","751866","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F14","F14F","14","Audio item F14","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14F_audio.webm","","","","","","",""
"truth_judgment","8770","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","128","2.1.0","760638","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F14","F14F","14","Audio item F14","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F14F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_1/ha77v84840_28T_audio.webm","null","audio-keyboard-response","129","2.1.1","764536","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","28","28T","28","Audio item 28","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_28T_audio.webm","","","","","","",""
"truth_judgment","5677","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","130","2.1.0","770215","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","28","28T","28","Audio item 28","T","true","main","false","native_1","Native Speaker 1","native","audio/native_1/ha77v84840_28T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","null","audio-keyboard-response","131","2.1.1","775016","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","42","42T","42","Audio item 42","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","","","","","","",""
"truth_judgment","5552","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","132","2.1.0","780569","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","42","42T","42","Audio item 42","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_42T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F9T_audio.webm","null","audio-keyboard-response","133","2.1.1","784946","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F9","F9T","9","Audio item F9","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F9T_audio.webm","","","","","","",""
"truth_judgment","4904","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","134","2.1.0","789851","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F9","F9T","9","Audio item F9","T","true","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F9T_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_31T_audio.webm","null","audio-keyboard-response","135","2.1.1","793385","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","31","31T","31","Audio item 31","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_31T_audio.webm","","","","","","",""
"truth_judgment","5401","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","136","2.1.0","798788","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","31","31T","31","Audio item 31","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_31T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F16F_audio.webm","null","audio-keyboard-response","137","2.1.1","805986","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","","","","","","",""
"truth_judgment","5089","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","138","2.1.0","811076","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_47T_audio.webm","null","audio-keyboard-response","139","2.1.1","814675","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","47","47T","47","Audio item 47","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_47T_audio.webm","","","","","","",""
"truth_judgment","5611","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","140","2.1.0","820287","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","47","47T","47","Audio item 47","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_47T_audio.webm","7","0","0","0","14","definitely false","definitely true"
"final_screen","3574","
        <div class=""study-box center-text"">
          <h2>End of Study</h2>
          <p>Thank you for participating.</p>
          <p>Click the button below to finish and send your responses securely to the study server.</p>
        </div>
      ","0","html-button-response","141","2.1.0","823864","q4psohy2","2","accent_credibility_four_speakers","66779b54dfca48b1e171a63b","6a0d18ca6b133c23bd4a9bda","6a0d1f53c791393d276a59e1","prolific","","","","","","","","","","","","","","","","","","","","","","","","","",""
