"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_26F_audio.webm","null","audio-keyboard-response","93","2.1.1","633145","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","26","26F","26","Audio item 26","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_26F_audio.webm","","","","","","",""
"truth_judgment","10969","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","94","2.1.0","644118","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","26","26F","26","Audio item 26","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_26F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F13F_audio.webm","null","audio-keyboard-response","95","2.1.1","648196","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","F13","F13F","13","Audio item F13","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F13F_audio.webm","","","","","","",""
"truth_judgment","4102","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","96","2.1.0","652301","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","F13","F13F","13","Audio item F13","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F13F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F16F_audio.webm","null","audio-keyboard-response","97","2.1.1","659503","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","","","","","","",""
"truth_judgment","6806","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","14","html-slider-response","98","2.1.0","666312","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","F16","F16F","16","Audio item F16","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F16F_audio.webm","7","14","14","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_1T_audio.webm","null","audio-keyboard-response","99","2.1.1","672249","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","1","1T","1","Audio item 1","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_1T_audio.webm","","","","","","",""
"truth_judgment","3925","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","6","html-slider-response","100","2.1.0","676178","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","1","1T","1","Audio item 1","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_1T_audio.webm","7","6","6","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_9F_audio.webm","null","audio-keyboard-response","101","2.1.1","679364","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","9","9F","9","Audio item 9","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_9F_audio.webm","","","","","","",""
"truth_judgment","6569","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","9","html-slider-response","102","2.1.0","685937","xuag6qsf","3","accent_credibility_four_speakers","69f287f9f8b7ae0a1bf056c4","6a0d18ca6b133c23bd4a9bda","6a0d1fc0ec5871370c00df76","prolific","","","","","","","","9","9F","9","Audio item 9","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_9F_audio.webm","7","9","9","0","14","definitely false","definitely true"
