"trial_name","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_id","counterbalance_list","study_name","prolific_pid","prolific_study_id","prolific_session_id","recruitment_platform","consented","success","timeout","failed_images","failed_audio","failed_video","view_history","fact_id","clip_code","item_number","statement_text","truth_code","truth_value","stimulus_set","is_filler","speaker_id","speaker_label","accent_group","audio_path","slider_start","participant_truth_rating_cm","participant_judgment","truth_scale_min_cm","truth_scale_max_cm","truth_scale_left_label","truth_scale_right_label"
"truth_judgment","7732","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","24","2.1.0","151107","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","3","3T","3","Audio item 3","T","true","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_3T_audio.webm","7","5","5","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F4F_audio.webm","null","audio-keyboard-response","25","2.1.1","155070","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","F4","F4F","4","Audio item F4","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F4F_audio.webm","","","","","","",""
"truth_judgment","3289","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","11","html-slider-response","26","2.1.0","158360","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","F4","F4F","4","Audio item F4","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F4F_audio.webm","7","11","11","0","14","definitely false","definitely true"
"audio_presentation","null","audio/filler_talker/7brghu4wnv_F3F_audio.webm","null","audio-keyboard-response","27","2.1.1","162377","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","F3","F3F","3","Audio item F3","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3F_audio.webm","","","","","","",""
"truth_judgment","2454","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","4","html-slider-response","28","2.1.0","164832","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","F3","F3F","3","Audio item F3","F","false","filler","true","filler_talker","Filler Talker","filler","audio/filler_talker/7brghu4wnv_F3F_audio.webm","7","4","4","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_34F_audio.webm","null","audio-keyboard-response","29","2.1.1","167470","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","34","34F","34","Audio item 34","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_34F_audio.webm","","","","","","",""
"truth_judgment","4435","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","0","html-slider-response","30","2.1.0","171906","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","34","34F","34","Audio item 34","F","false","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_34F_audio.webm","7","0","0","0","14","definitely false","definitely true"
"audio_presentation","null","audio/native_2/6nhu1nbwba_45T_audio.webm","null","audio-keyboard-response","31","2.1.1","176703","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_45T_audio.webm","","","","","","",""
"truth_judgment","4734","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","8","html-slider-response","32","2.1.0","181437","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","45","45T","45","Audio item 45","T","true","main","false","native_2","Native Speaker 2","native","audio/native_2/6nhu1nbwba_45T_audio.webm","7","8","8","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_1/6bqg3s4g4q_22T_audio.webm","null","audio-keyboard-response","33","2.1.1","185822","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","22","22T","22","Audio item 22","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_22T_audio.webm","","","","","","",""
"truth_judgment","6288","
    <div class=""study-box center-text truth-scale-trial"">
      <div class=""big-question"">How true do you think the statement you just heard is?</div>
    </div>
  ","5","html-slider-response","34","2.1.0","192111","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","22","22T","22","Audio item 22","T","true","main","false","non_native_1","Non-native Speaker 1","non_native","audio/non_native_1/6bqg3s4g4q_22T_audio.webm","7","5","5","0","14","definitely false","definitely true"
"audio_presentation","null","audio/non_native_2/2j7bwre4ol_23F_audio.webm","null","audio-keyboard-response","35","2.1.1","195950","0zm0fd3c","2","accent_credibility_four_speakers","6a0b4342858b03ad3dcb830a","6a0d18ca6b133c23bd4a9bda","6a0d1f41b50fe55dce193775","prolific","","","","","","","","23","23F","23","Audio item 23","F","false","main","false","non_native_2","Non-native Speaker 2","non_native","audio/non_native_2/2j7bwre4ol_23F_audio.webm","","","","","","",""
